Filename, I(P), I(P)+, I(P)-, k, Iter, Local time(s), Global time(s), Params, Total Iter, Total Comb
file300_10_2.g/random-cuda-20140605_174208, 14.0, 5.0, 9.0, 2, 1, 0.0016, 0.557941, CC-Node0-l1a0.8-iterations.csv, 402, 0
file300_10_5.g/random-cuda-20140605_174208, 16.0, 11.0, 5.0, 4, 77, 0.1284, 0.806187, CC-Node0-l1a0.8-iterations.csv, 478, 0
file300_10_8.g/random-cuda-20140605_174208, 3.0, 3.0, 0.0, 5, 2, 0.0041, 0.68072, CC-Node0-l1a0.8-iterations.csv, 403, 0
file300_20_2.g/random-cuda-20140605_174208, 33.0, 5.0, 28.0, 2, 1, 0.0027, 0.638949, CC-Node0-l1a0.8-iterations.csv, 402, 0
file300_20_5.g/random-cuda-20140605_174208, 43.0, 35.0, 8.0, 4, 69, 0.1379, 0.932551, CC-Node0-l1a0.8-iterations.csv, 470, 0
file300_20_8.g/random-cuda-20140605_174208, 16.0, 16.0, 0.0, 7, 47, 0.0983, 0.947398, CC-Node0-l1a0.8-iterations.csv, 448, 0
file300_50_2.g/random-cuda-20140605_174208, 87.0, 0.0, 87.0, 1, 1, 0.0, 0.602792, CC-Node0-l1a0.8-iterations.csv, 402, 0
file300_50_5.g/random-cuda-20140605_174208, 154.0, 127.0, 27.0, 5, 53, 0.1267, 1.23705, CC-Node0-l1a0.8-iterations.csv, 454, 0
file300_50_8.g/random-cuda-20140605_174208, 64.0, 60.0, 4.0, 10, 289, 0.8288, 1.97399, CC-Node0-l1a0.8-iterations.csv, 690, 0
file300_80_2.g/random-cuda-20140605_174208, 140.0, 0.0, 140.0, 1, 1, 0.0, 0.623307, CC-Node0-l1a0.8-iterations.csv, 402, 0
file300_80_5.g/random-cuda-20140605_174208, 258.0, 203.0, 55.0, 4, 35, 0.1066, 1.31753, CC-Node0-l1a0.8-iterations.csv, 436, 0
file300_80_8.g/random-cuda-20140605_174208, 114.0, 100.0, 14.0, 11, 3, 0.0119, 1.46149, CC-Node0-l1a0.8-iterations.csv, 404, 0
file400_10_2.g/random-cuda-20140605_174208, 32.0, 0.0, 32.0, 1, 2, 0.0041, 0.820139, CC-Node0-l1a0.8-iterations.csv, 403, 0
file400_10_5.g/random-cuda-20140605_174208, 32.0, 25.0, 7.0, 3, 123, 0.3051, 1.31527, CC-Node0-l1a0.8-iterations.csv, 524, 0
file400_10_8.g/random-cuda-20140605_174208, 10.0, 6.0, 4.0, 5, 401, 1.0553, 2.14259, CC-Node0-l1a0.8-iterations.csv, 802, 0
file400_20_2.g/random-cuda-20140605_174208, 63.0, 0.0, 63.0, 1, 1, 0.0022, 0.874315, CC-Node0-l1a0.8-iterations.csv, 402, 0
file400_20_5.g/random-cuda-20140605_174208, 84.0, 67.0, 17.0, 4, 67, 0.1969, 1.37159, CC-Node0-l1a0.8-iterations.csv, 468, 0
file400_20_8.g/random-cuda-20140605_174208, 35.0, 32.0, 3.0, 7, 130, 0.4214, 1.72051, CC-Node0-l1a0.8-iterations.csv, 531, 0
file400_50_2.g/random-cuda-20140605_174208, 156.0, 0.0, 156.0, 1, 1, 0.0025, 0.906634, CC-Node0-l1a0.8-iterations.csv, 402, 0
file400_50_5.g/random-cuda-20140605_174208, 284.0, 184.0, 100.0, 4, 158, 0.6468, 2.39766, CC-Node0-l1a0.8-iterations.csv, 559, 0
file400_50_8.g/random-cuda-20140605_174208, 122.0, 113.0, 9.0, 11, 41, 0.1998, 2.18919, CC-Node0-l1a0.8-iterations.csv, 442, 0
file400_80_2.g/random-cuda-20140605_174208, 250.0, 0.0, 250.0, 1, 1, 0.0, 0.998962, CC-Node0-l1a0.8-iterations.csv, 402, 0
file400_80_5.g/random-cuda-20140605_174208, 493.0, 381.0, 112.0, 5, 323, 1.5785, 3.59346, CC-Node0-l1a0.8-iterations.csv, 724, 0
file400_80_8.g/random-cuda-20140605_174208, 210.0, 195.0, 15.0, 12, 226, 1.4318, 3.97741, CC-Node0-l1a0.8-iterations.csv, 627, 0
file500_10_2.g/random-cuda-20140605_174208, 48.0, 5.0, 43.0, 2, 1, 0.0027, 1.04555, CC-Node0-l1a0.8-iterations.csv, 402, 0
file500_10_5.g/random-cuda-20140605_174208, 58.0, 49.0, 9.0, 5, 109, 0.3634, 1.69982, CC-Node0-l1a0.8-iterations.csv, 510, 0
file500_10_8.g/random-cuda-20140605_174208, 20.0, 19.0, 1.0, 6, 278, 1.009, 2.46526, CC-Node0-l1a0.8-iterations.csv, 679, 0
file500_20_2.g/random-cuda-20140605_174208, 98.0, 0.0, 98.0, 1, 1, 0.0025, 1.10622, CC-Node0-l1a0.8-iterations.csv, 402, 0
file500_20_5.g/random-cuda-20140605_174208, 155.0, 129.0, 26.0, 4, 197, 0.7784, 2.36725, CC-Node0-l1a0.8-iterations.csv, 598, 0
file500_20_8.g/random-cuda-20140605_174208, 60.0, 58.0, 2.0, 8, 214, 1.0188, 2.9081, CC-Node0-l1a0.8-iterations.csv, 615, 0
file500_50_2.g/random-cuda-20140605_174208, 245.0, 0.0, 245.0, 1, 1, 0.0, 1.19602, CC-Node0-l1a0.8-iterations.csv, 402, 0
file500_50_5.g/random-cuda-20140605_174208, 463.0, 382.0, 81.0, 6, 11, 0.0654, 2.4643, CC-Node0-l1a0.8-iterations.csv, 412, 0
file500_50_8.g/random-cuda-20140605_174208, 202.0, 181.0, 21.0, 12, 270, 2.0068, 4.99262, CC-Node0-l1a0.8-iterations.csv, 671, 0
file500_80_2.g/random-cuda-20140605_174208, 392.0, 0.0, 392.0, 1, 1, 0.0, 1.34841, CC-Node0-l1a0.8-iterations.csv, 402, 0
file500_80_5.g/random-cuda-20140605_174208, 778.0, 624.0, 154.0, 4, 168, 1.3463, 4.537, CC-Node0-l1a0.8-iterations.csv, 569, 0
file500_80_8.g/random-cuda-20140605_174208, 337.0, 315.0, 22.0, 16, 353, 3.7131, 7.97064, CC-Node0-l1a0.8-iterations.csv, 754, 0
